                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                 0.5937,                 0.4296,                 1.0774,                0.90338,                0.87943,                0.93007,                0.77096,                0.72481,                0.51464,                  1.195,                0.00307,                0.00307,                0.00307
                     72,                0.58146,                 0.4144,                 1.0688,                0.91534,                0.87423,                0.93316,                  0.765,                0.74339,                0.51009,                 1.2059,               0.002971,               0.002971,               0.002971
                     73,                0.58483,                0.41733,                 1.0685,                0.92382,                0.84983,                0.92689,                0.75579,                0.74026,                0.53495,                 1.2107,               0.002872,               0.002872,               0.002872
                     74,                0.58551,                0.42254,                 1.0638,                0.91157,                0.86799,                0.93303,                0.76373,                0.73948,                0.52988,                 1.2027,               0.002773,               0.002773,               0.002773
                     75,                0.57252,                0.40683,                 1.0573,                0.88736,                0.88119,                0.93087,                0.76762,                0.75549,                0.52365,                 1.2302,               0.002674,               0.002674,               0.002674
                     76,                0.57667,                0.41688,                 1.0619,                0.91936,                 0.8654,                0.93227,                0.76784,                0.74597,                0.51251,                 1.2258,               0.002575,               0.002575,               0.002575
                     77,                0.57302,                0.41595,                 1.0631,                0.93176,                0.85626,                0.92582,                0.76159,                0.76408,                0.54848,                 1.2524,               0.002476,               0.002476,               0.002476
                     78,                 0.5687,                0.40669,                 1.0626,                0.92506,                0.86799,                0.93554,                 0.7707,                0.74808,                0.52237,                 1.2224,               0.002377,               0.002377,               0.002377
                     79,                0.55993,                0.40699,                 1.0526,                 0.9081,                0.87459,                0.92884,                0.76112,                0.77391,                0.51981,                 1.2428,               0.002278,               0.002278,               0.002278
                     80,                0.56938,                0.40632,                 1.0563,                0.92504,                 0.8553,                0.93767,                0.76955,                0.74174,                 0.5051,                 1.2073,               0.002179,               0.002179,               0.002179
                     81,                 0.5666,                0.39889,                 1.0593,                0.91678,                0.87624,                0.93462,                0.77192,                 0.7419,                 0.5148,                 1.2189,                0.00208,                0.00208,                0.00208
                     82,                0.55539,                0.39619,                 1.0533,                0.93137,                0.85479,                0.93659,                0.77007,                0.74042,                0.51479,                 1.2197,               0.001981,               0.001981,               0.001981
